starttime	seconds	ctime	dtime	ttime	wait
Sat Jul 24 22:58:22 2021	1627131502	1	5	6	5
Sat Jul 24 22:58:22 2021	1627131502	0	6	6	6
Sat Jul 24 22:58:21 2021	1627131501	0	7	7	2
Sat Jul 24 22:58:22 2021	1627131502	1	6	7	6
Sat Jul 24 22:58:22 2021	1627131502	0	7	7	7
Sat Jul 24 22:58:21 2021	1627131501	2	6	8	6
Sat Jul 24 22:58:22 2021	1627131502	0	7	8	7
Sat Jul 24 22:58:22 2021	1627131502	1	7	8	7
Sat Jul 24 22:58:22 2021	1627131502	0	8	8	8
Sat Jul 24 22:58:21 2021	1627131501	2	6	8	6
Sat Jul 24 22:58:21 2021	1627131501	4	4	8	4
Sat Jul 24 22:58:21 2021	1627131501	4	5	9	5
Sat Jul 24 22:58:21 2021	1627131501	2	7	9	7
Sat Jul 24 22:58:21 2021	1627131501	4	6	9	5
Sat Jul 24 22:58:21 2021	1627131501	4	5	9	5
Sat Jul 24 22:58:22 2021	1627131502	1	9	10	9
Sat Jul 24 22:58:22 2021	1627131502	0	9	10	8
Sat Jul 24 22:58:21 2021	1627131501	4	6	10	5
Sat Jul 24 22:58:22 2021	1627131502	1	8	10	8
Sat Jul 24 22:58:22 2021	1627131502	1	9	10	8
Sat Jul 24 22:58:21 2021	1627131501	4	5	10	5
Sat Jul 24 22:58:21 2021	1627131501	0	9	10	9
Sat Jul 24 22:58:22 2021	1627131502	1	9	10	9
Sat Jul 24 22:58:22 2021	1627131502	1	9	10	9
Sat Jul 24 22:58:22 2021	1627131502	1	9	10	9
Sat Jul 24 22:58:21 2021	1627131501	5	6	10	6
Sat Jul 24 22:58:21 2021	1627131501	5	5	10	5
Sat Jul 24 22:58:22 2021	1627131502	1	9	10	9
Sat Jul 24 22:58:21 2021	1627131501	0	10	10	9
Sat Jul 24 22:58:21 2021	1627131501	2	9	10	9
Sat Jul 24 22:58:21 2021	1627131501	2	8	10	8
Sat Jul 24 22:58:22 2021	1627131502	1	10	10	9
Sat Jul 24 22:58:22 2021	1627131502	0	10	10	10
Sat Jul 24 22:58:21 2021	1627131501	4	6	10	6
Sat Jul 24 22:58:21 2021	1627131501	4	6	10	6
Sat Jul 24 22:58:22 2021	1627131502	1	9	10	9
Sat Jul 24 22:58:21 2021	1627131501	1	10	10	9
Sat Jul 24 22:58:22 2021	1627131502	1	10	11	9
Sat Jul 24 22:58:21 2021	1627131501	4	6	11	6
Sat Jul 24 22:58:21 2021	1627131501	4	6	11	6
Sat Jul 24 22:58:21 2021	1627131501	4	6	11	6
Sat Jul 24 22:58:21 2021	1627131501	2	8	11	8
Sat Jul 24 22:58:21 2021	1627131501	2	9	11	9
Sat Jul 24 22:58:21 2021	1627131501	2	8	11	8
Sat Jul 24 22:58:22 2021	1627131502	1	10	11	9
Sat Jul 24 22:58:21 2021	1627131501	5	6	11	6
Sat Jul 24 22:58:21 2021	1627131501	5	6	11	6
Sat Jul 24 22:58:22 2021	1627131502	1	10	11	9
Sat Jul 24 22:58:21 2021	1627131501	4	7	11	7
Sat Jul 24 22:58:21 2021	1627131501	4	6	11	6
Sat Jul 24 22:58:22 2021	1627131502	1	10	11	10
Sat Jul 24 22:58:22 2021	1627131502	2	9	11	9
Sat Jul 24 22:58:21 2021	1627131501	1	10	11	9
Sat Jul 24 22:58:22 2021	1627131502	1	10	11	10
Sat Jul 24 22:58:21 2021	1627131501	2	9	11	9
Sat Jul 24 22:58:22 2021	1627131502	1	10	11	9
Sat Jul 24 22:58:22 2021	1627131502	1	10	11	9
Sat Jul 24 22:58:22 2021	1627131502	1	10	11	10
Sat Jul 24 22:58:22 2021	1627131502	2	9	11	9
Sat Jul 24 22:58:21 2021	1627131501	5	6	11	6
Sat Jul 24 22:58:22 2021	1627131502	1	10	11	10
Sat Jul 24 22:58:21 2021	1627131501	4	7	11	6
Sat Jul 24 22:58:21 2021	1627131501	3	8	11	8
Sat Jul 24 22:58:21 2021	1627131501	4	7	11	6
Sat Jul 24 22:58:22 2021	1627131502	0	11	11	10
Sat Jul 24 22:58:21 2021	1627131501	4	7	11	7
Sat Jul 24 22:58:22 2021	1627131502	1	10	11	9
Sat Jul 24 22:58:21 2021	1627131501	4	7	11	7
Sat Jul 24 22:58:21 2021	1627131501	5	6	11	6
Sat Jul 24 22:58:21 2021	1627131501	3	9	11	8
Sat Jul 24 22:58:21 2021	1627131501	4	7	11	7
Sat Jul 24 22:58:22 2021	1627131502	1	10	11	10
Sat Jul 24 22:58:22 2021	1627131502	1	10	11	10
Sat Jul 24 22:58:22 2021	1627131502	1	10	11	10
Sat Jul 24 22:58:22 2021	1627131502	0	11	11	11
Sat Jul 24 22:58:22 2021	1627131502	1	11	11	9
Sat Jul 24 22:58:22 2021	1627131502	0	11	11	11
Sat Jul 24 22:58:21 2021	1627131501	3	9	11	9
Sat Jul 24 22:58:22 2021	1627131502	1	10	11	10
Sat Jul 24 22:58:21 2021	1627131501	4	8	11	8
Sat Jul 24 22:58:21 2021	1627131501	1	10	11	10
Sat Jul 24 22:58:21 2021	1627131501	1	10	12	10
Sat Jul 24 22:58:21 2021	1627131501	2	10	12	10
Sat Jul 24 22:58:21 2021	1627131501	3	9	12	9
Sat Jul 24 22:58:22 2021	1627131502	1	11	12	11
Sat Jul 24 22:58:21 2021	1627131501	4	7	12	7
Sat Jul 24 22:58:22 2021	1627131502	1	11	12	11
Sat Jul 24 22:58:22 2021	1627131502	1	11	12	11
Sat Jul 24 22:58:22 2021	1627131502	0	11	12	11
Sat Jul 24 22:58:22 2021	1627131502	1	11	12	11
Sat Jul 24 22:58:22 2021	1627131502	0	12	12	11
Sat Jul 24 22:58:22 2021	1627131502	1	11	12	11
Sat Jul 24 22:58:21 2021	1627131501	1	11	12	11
Sat Jul 24 22:58:21 2021	1627131501	4	8	12	8
Sat Jul 24 22:58:21 2021	1627131501	0	11	12	11
Sat Jul 24 22:58:22 2021	1627131502	1	11	12	11
Sat Jul 24 22:58:21 2021	1627131501	1	11	12	11
Sat Jul 24 22:58:22 2021	1627131502	1	11	12	11
Sat Jul 24 22:58:21 2021	1627131501	2	10	12	10
Sat Jul 24 22:58:22 2021	1627131502	0	12	12	12
Sat Jul 24 22:58:22 2021	1627131502	1	11	12	11
Sat Jul 24 22:58:21 2021	1627131501	4	8	12	8
Sat Jul 24 22:58:21 2021	1627131501	5	8	12	7
Sat Jul 24 22:58:22 2021	1627131502	0	12	12	12
Sat Jul 24 22:58:22 2021	1627131502	1	11	12	11
Sat Jul 24 22:58:22 2021	1627131502	1	11	12	11
Sat Jul 24 22:58:22 2021	1627131502	0	12	12	12
Sat Jul 24 22:58:21 2021	1627131501	1	12	12	11
Sat Jul 24 22:58:22 2021	1627131502	1	11	12	11
Sat Jul 24 22:58:22 2021	1627131502	1	12	12	11
