starttime	seconds	ctime	dtime	ttime	wait
Sat Jul 24 22:57:35 2021	1627131455	0	6	7	5
Sat Jul 24 22:57:34 2021	1627131454	0	7	7	2
Sat Jul 24 22:57:34 2021	1627131454	1	8	9	8
Sat Jul 24 22:57:35 2021	1627131455	1	8	9	8
Sat Jul 24 22:57:35 2021	1627131455	1	8	9	8
Sat Jul 24 22:57:35 2021	1627131455	1	8	9	8
Sat Jul 24 22:57:35 2021	1627131455	2	7	9	7
Sat Jul 24 22:57:35 2021	1627131455	1	8	9	8
Sat Jul 24 22:57:34 2021	1627131454	0	9	9	9
Sat Jul 24 22:57:35 2021	1627131455	1	8	9	8
Sat Jul 24 22:57:34 2021	1627131454	1	8	9	8
Sat Jul 24 22:57:35 2021	1627131455	1	9	10	8
Sat Jul 24 22:57:34 2021	1627131454	1	9	10	8
Sat Jul 24 22:57:35 2021	1627131455	1	9	10	9
Sat Jul 24 22:57:34 2021	1627131454	1	10	10	9
Sat Jul 24 22:57:35 2021	1627131455	1	9	10	9
Sat Jul 24 22:57:34 2021	1627131454	0	10	10	9
Sat Jul 24 22:57:35 2021	1627131455	1	9	10	9
Sat Jul 24 22:57:34 2021	1627131454	0	10	10	10
Sat Jul 24 22:57:35 2021	1627131455	1	9	10	9
Sat Jul 24 22:57:35 2021	1627131455	0	10	10	10
Sat Jul 24 22:57:34 2021	1627131454	1	9	10	9
Sat Jul 24 22:57:34 2021	1627131454	0	10	10	9
Sat Jul 24 22:57:35 2021	1627131455	1	9	10	9
Sat Jul 24 22:57:35 2021	1627131455	1	10	11	10
Sat Jul 24 22:57:34 2021	1627131454	1	10	11	10
Sat Jul 24 22:57:35 2021	1627131455	1	10	11	10
Sat Jul 24 22:57:35 2021	1627131455	2	9	11	9
Sat Jul 24 22:57:35 2021	1627131455	2	10	11	10
Sat Jul 24 22:57:34 2021	1627131454	1	11	11	10
Sat Jul 24 22:57:34 2021	1627131454	0	11	11	11
Sat Jul 24 22:57:34 2021	1627131454	1	11	11	11
Sat Jul 24 22:57:35 2021	1627131455	1	10	12	10
Sat Jul 24 22:57:35 2021	1627131455	2	10	12	10
Sat Jul 24 22:57:34 2021	1627131454	0	11	12	11
Sat Jul 24 22:57:34 2021	1627131454	1	11	12	11
Sat Jul 24 22:57:34 2021	1627131454	2	10	12	10
Sat Jul 24 22:57:35 2021	1627131455	2	10	12	10
Sat Jul 24 22:57:35 2021	1627131455	1	10	12	10
Sat Jul 24 22:57:35 2021	1627131455	2	10	12	10
Sat Jul 24 22:57:34 2021	1627131454	0	11	12	11
Sat Jul 24 22:57:35 2021	1627131455	2	10	12	10
Sat Jul 24 22:57:34 2021	1627131454	1	11	12	11
Sat Jul 24 22:57:34 2021	1627131454	0	12	12	11
Sat Jul 24 22:57:35 2021	1627131455	2	10	12	10
Sat Jul 24 22:57:34 2021	1627131454	1	12	12	11
Sat Jul 24 22:57:35 2021	1627131455	2	10	12	10
Sat Jul 24 22:57:35 2021	1627131455	2	10	12	10
Sat Jul 24 22:57:35 2021	1627131455	1	11	12	11
Sat Jul 24 22:57:35 2021	1627131455	2	11	12	11
Sat Jul 24 22:57:34 2021	1627131454	0	12	12	12
Sat Jul 24 22:57:35 2021	1627131455	2	10	12	10
Sat Jul 24 22:57:34 2021	1627131454	1	12	12	11
Sat Jul 24 22:57:35 2021	1627131455	1	11	12	11
Sat Jul 24 22:57:34 2021	1627131454	1	12	12	11
Sat Jul 24 22:57:35 2021	1627131455	2	11	12	11
Sat Jul 24 22:57:35 2021	1627131455	2	11	12	11
Sat Jul 24 22:57:35 2021	1627131455	2	11	12	11
Sat Jul 24 22:57:35 2021	1627131455	1	11	12	11
Sat Jul 24 22:57:34 2021	1627131454	1	12	12	11
Sat Jul 24 22:57:34 2021	1627131454	0	12	12	12
Sat Jul 24 22:57:34 2021	1627131454	2	11	13	10
Sat Jul 24 22:57:35 2021	1627131455	2	11	13	11
Sat Jul 24 22:57:35 2021	1627131455	1	11	13	11
Sat Jul 24 22:57:34 2021	1627131454	1	12	13	11
Sat Jul 24 22:57:35 2021	1627131455	2	11	13	11
Sat Jul 24 22:57:34 2021	1627131454	3	9	13	9
Sat Jul 24 22:57:34 2021	1627131454	1	12	13	12
Sat Jul 24 22:57:34 2021	1627131454	2	11	13	10
Sat Jul 24 22:57:34 2021	1627131454	0	13	13	12
Sat Jul 24 22:57:34 2021	1627131454	1	12	13	11
Sat Jul 24 22:57:35 2021	1627131455	2	11	13	11
Sat Jul 24 22:57:34 2021	1627131454	1	13	13	12
Sat Jul 24 22:57:34 2021	1627131454	2	11	13	11
Sat Jul 24 22:57:35 2021	1627131455	1	12	13	12
Sat Jul 24 22:57:34 2021	1627131454	2	12	13	12
Sat Jul 24 22:57:35 2021	1627131455	1	12	13	12
Sat Jul 24 22:57:34 2021	1627131454	2	12	13	12
Sat Jul 24 22:57:35 2021	1627131455	2	11	13	11
Sat Jul 24 22:57:34 2021	1627131454	1	13	13	13
Sat Jul 24 22:57:34 2021	1627131454	1	12	14	12
Sat Jul 24 22:57:34 2021	1627131454	2	11	14	11
Sat Jul 24 22:57:34 2021	1627131454	1	13	14	13
Sat Jul 24 22:57:35 2021	1627131455	3	11	14	8
Sat Jul 24 22:57:34 2021	1627131454	2	12	14	11
Sat Jul 24 22:57:34 2021	1627131454	2	12	14	11
Sat Jul 24 22:57:35 2021	1627131455	1	13	14	12
Sat Jul 24 22:57:34 2021	1627131454	1	12	14	12
Sat Jul 24 22:57:34 2021	1627131454	1	13	14	13
Sat Jul 24 22:57:34 2021	1627131454	1	13	14	13
Sat Jul 24 22:57:34 2021	1627131454	2	12	14	12
Sat Jul 24 22:57:34 2021	1627131454	2	12	14	11
Sat Jul 24 22:57:34 2021	1627131454	2	12	14	12
Sat Jul 24 22:57:35 2021	1627131455	1	13	14	12
Sat Jul 24 22:57:34 2021	1627131454	2	12	14	12
Sat Jul 24 22:57:34 2021	1627131454	1	13	14	13
Sat Jul 24 22:57:34 2021	1627131454	2	12	14	12
Sat Jul 24 22:57:34 2021	1627131454	1	13	14	13
Sat Jul 24 22:57:34 2021	1627131454	1	13	14	13
Sat Jul 24 22:57:34 2021	1627131454	1	13	14	13
Sat Jul 24 22:57:34 2021	1627131454	1	13	14	13
Sat Jul 24 22:57:35 2021	1627131455	1	13	14	13
Sat Jul 24 22:57:34 2021	1627131454	2	12	14	11
Sat Jul 24 22:57:34 2021	1627131454	2	12	14	12
Sat Jul 24 22:57:34 2021	1627131454	0	14	14	13
Sat Jul 24 22:57:34 2021	1627131454	1	13	14	13
Sat Jul 24 22:57:34 2021	1627131454	1	13	14	13
Sat Jul 24 22:57:35 2021	1627131455	1	13	14	13
Sat Jul 24 22:57:34 2021	1627131454	1	13	14	12
Sat Jul 24 22:57:34 2021	1627131454	1	13	14	13
Sat Jul 24 22:57:35 2021	1627131455	1	13	14	13
Sat Jul 24 22:57:34 2021	1627131454	2	12	14	12
Sat Jul 24 22:57:34 2021	1627131454	0	14	14	14
Sat Jul 24 22:57:34 2021	1627131454	1	13	14	13
Sat Jul 24 22:57:35 2021	1627131455	1	13	14	13
Sat Jul 24 22:57:35 2021	1627131455	1	13	14	13
Sat Jul 24 22:57:34 2021	1627131454	1	13	14	12
Sat Jul 24 22:57:35 2021	1627131455	1	13	14	13
Sat Jul 24 22:57:34 2021	1627131454	1	13	14	13
Sat Jul 24 22:57:34 2021	1627131454	2	13	14	13
Sat Jul 24 22:57:35 2021	1627131455	1	13	14	13
Sat Jul 24 22:57:34 2021	1627131454	3	11	14	11
Sat Jul 24 22:57:35 2021	1627131455	1	14	14	13
Sat Jul 24 22:57:35 2021	1627131455	1	13	14	13
Sat Jul 24 22:57:34 2021	1627131454	5	9	14	9
Sat Jul 24 22:57:34 2021	1627131454	1	14	14	13
Sat Jul 24 22:57:34 2021	1627131454	2	12	14	12
Sat Jul 24 22:57:34 2021	1627131454	1	13	14	13
Sat Jul 24 22:57:34 2021	1627131454	1	13	14	13
Sat Jul 24 22:57:34 2021	1627131454	1	13	14	13
Sat Jul 24 22:57:34 2021	1627131454	2	12	14	12
Sat Jul 24 22:57:34 2021	1627131454	1	13	14	13
Sat Jul 24 22:57:34 2021	1627131454	1	14	14	14
Sat Jul 24 22:57:35 2021	1627131455	2	13	14	13
Sat Jul 24 22:57:34 2021	1627131454	2	13	14	13
Sat Jul 24 22:57:34 2021	1627131454	2	13	14	13
Sat Jul 24 22:57:35 2021	1627131455	2	12	14	12
Sat Jul 24 22:57:34 2021	1627131454	2	13	14	13
Sat Jul 24 22:57:34 2021	1627131454	2	13	14	13
Sat Jul 24 22:57:35 2021	1627131455	1	14	15	13
Sat Jul 24 22:57:34 2021	1627131454	2	13	15	12
Sat Jul 24 22:57:35 2021	1627131455	1	14	15	14
Sat Jul 24 22:57:35 2021	1627131455	1	13	15	13
Sat Jul 24 22:57:34 2021	1627131454	0	14	15	14
Sat Jul 24 22:57:34 2021	1627131454	3	12	15	12
Sat Jul 24 22:57:34 2021	1627131454	2	12	15	12
Sat Jul 24 22:57:35 2021	1627131455	1	14	15	14
Sat Jul 24 22:57:35 2021	1627131455	7	8	15	8
Sat Jul 24 22:57:35 2021	1627131455	2	13	15	13
Sat Jul 24 22:57:34 2021	1627131454	1	14	15	14
Sat Jul 24 22:57:35 2021	1627131455	1	14	15	14
Sat Jul 24 22:57:35 2021	1627131455	3	11	15	11
Sat Jul 24 22:57:34 2021	1627131454	1	13	15	13
Sat Jul 24 22:57:34 2021	1627131454	2	13	15	13
Sat Jul 24 22:57:34 2021	1627131454	2	13	15	11
Sat Jul 24 22:57:34 2021	1627131454	1	14	15	13
Sat Jul 24 22:57:34 2021	1627131454	1	13	15	13
Sat Jul 24 22:57:34 2021	1627131454	2	13	15	13
Sat Jul 24 22:57:34 2021	1627131454	2	13	15	13
Sat Jul 24 22:57:34 2021	1627131454	1	14	15	14
Sat Jul 24 22:57:34 2021	1627131454	2	13	15	13
Sat Jul 24 22:57:34 2021	1627131454	2	12	15	12
Sat Jul 24 22:57:34 2021	1627131454	2	13	15	13
Sat Jul 24 22:57:35 2021	1627131455	1	14	15	14
Sat Jul 24 22:57:34 2021	1627131454	2	13	15	12
Sat Jul 24 22:57:35 2021	1627131455	2	13	15	13
Sat Jul 24 22:57:35 2021	1627131455	1	13	15	13
Sat Jul 24 22:57:34 2021	1627131454	1	14	15	13
Sat Jul 24 22:57:34 2021	1627131454	1	14	15	14
Sat Jul 24 22:57:34 2021	1627131454	1	14	15	14
Sat Jul 24 22:57:34 2021	1627131454	4	11	15	11
Sat Jul 24 22:57:34 2021	1627131454	2	13	15	13
Sat Jul 24 22:57:35 2021	1627131455	2	13	15	13
Sat Jul 24 22:57:34 2021	1627131454	2	13	15	13
Sat Jul 24 22:57:34 2021	1627131454	1	14	15	13
Sat Jul 24 22:57:34 2021	1627131454	2	13	15	13
Sat Jul 24 22:57:34 2021	1627131454	3	11	15	10
Sat Jul 24 22:57:34 2021	1627131454	2	13	15	13
Sat Jul 24 22:57:35 2021	1627131455	3	12	15	12
Sat Jul 24 22:57:34 2021	1627131454	3	12	15	12
Sat Jul 24 22:57:35 2021	1627131455	2	13	15	13
Sat Jul 24 22:57:35 2021	1627131455	2	13	15	13
Sat Jul 24 22:57:34 2021	1627131454	3	12	15	12
Sat Jul 24 22:57:34 2021	1627131454	1	14	15	14
Sat Jul 24 22:57:35 2021	1627131455	1	14	15	13
Sat Jul 24 22:57:34 2021	1627131454	2	13	15	13
Sat Jul 24 22:57:35 2021	1627131455	1	14	15	13
Sat Jul 24 22:57:35 2021	1627131455	1	14	15	14
Sat Jul 24 22:57:35 2021	1627131455	1	14	15	14
Sat Jul 24 22:57:35 2021	1627131455	2	13	15	13
Sat Jul 24 22:57:34 2021	1627131454	2	13	15	10
Sat Jul 24 22:57:34 2021	1627131454	1	14	15	14
Sat Jul 24 22:57:35 2021	1627131455	2	13	15	13
Sat Jul 24 22:57:34 2021	1627131454	2	13	15	13
Sat Jul 24 22:57:34 2021	1627131454	1	14	15	14
Sat Jul 24 22:57:35 2021	1627131455	2	13	15	13
Sat Jul 24 22:57:34 2021	1627131454	2	13	15	13
Sat Jul 24 22:57:34 2021	1627131454	3	12	15	12
Sat Jul 24 22:57:34 2021	1627131454	2	13	15	13
Sat Jul 24 22:57:34 2021	1627131454	2	13	15	13
Sat Jul 24 22:57:35 2021	1627131455	1	14	15	14
Sat Jul 24 22:57:34 2021	1627131454	3	12	15	12
Sat Jul 24 22:57:35 2021	1627131455	1	14	15	14
Sat Jul 24 22:57:35 2021	1627131455	7	8	15	8
Sat Jul 24 22:57:35 2021	1627131455	0	15	15	15
Sat Jul 24 22:57:35 2021	1627131455	1	14	15	14
Sat Jul 24 22:57:34 2021	1627131454	2	13	15	11
Sat Jul 24 22:57:34 2021	1627131454	2	13	15	13
Sat Jul 24 22:57:34 2021	1627131454	1	14	15	14
Sat Jul 24 22:57:35 2021	1627131455	2	13	15	13
Sat Jul 24 22:57:35 2021	1627131455	7	8	15	8
Sat Jul 24 22:57:34 2021	1627131454	2	13	15	13
Sat Jul 24 22:57:34 2021	1627131454	2	13	15	13
Sat Jul 24 22:57:35 2021	1627131455	1	14	15	14
Sat Jul 24 22:57:35 2021	1627131455	1	14	15	14
Sat Jul 24 22:57:34 2021	1627131454	3	13	15	12
Sat Jul 24 22:57:34 2021	1627131454	2	14	15	14
Sat Jul 24 22:57:34 2021	1627131454	2	13	15	13
Sat Jul 24 22:57:34 2021	1627131454	1	14	15	13
Sat Jul 24 22:57:35 2021	1627131455	1	14	15	14
Sat Jul 24 22:57:34 2021	1627131454	1	14	15	14
Sat Jul 24 22:57:34 2021	1627131454	2	13	15	13
Sat Jul 24 22:57:34 2021	1627131454	1	14	15	14
Sat Jul 24 22:57:35 2021	1627131455	3	12	15	12
Sat Jul 24 22:57:34 2021	1627131454	2	14	15	13
Sat Jul 24 22:57:35 2021	1627131455	1	14	15	14
Sat Jul 24 22:57:34 2021	1627131454	1	14	15	14
Sat Jul 24 22:57:34 2021	1627131454	1	14	15	14
Sat Jul 24 22:57:34 2021	1627131454	1	15	15	15
Sat Jul 24 22:57:34 2021	1627131454	2	14	15	14
Sat Jul 24 22:57:34 2021	1627131454	2	14	15	14
Sat Jul 24 22:57:34 2021	1627131454	0	15	15	15
Sat Jul 24 22:57:34 2021	1627131454	3	12	15	12
Sat Jul 24 22:57:35 2021	1627131455	8	8	15	8
Sat Jul 24 22:57:35 2021	1627131455	1	14	15	14
Sat Jul 24 22:57:35 2021	1627131455	1	14	15	14
Sat Jul 24 22:57:35 2021	1627131455	1	14	15	14
Sat Jul 24 22:57:35 2021	1627131455	1	14	15	14
Sat Jul 24 22:57:34 2021	1627131454	1	14	15	14
Sat Jul 24 22:57:34 2021	1627131454	1	14	15	14
Sat Jul 24 22:57:34 2021	1627131454	0	15	15	15
Sat Jul 24 22:57:35 2021	1627131455	2	13	15	13
Sat Jul 24 22:57:34 2021	1627131454	1	14	15	14
Sat Jul 24 22:57:35 2021	1627131455	0	15	15	14
Sat Jul 24 22:57:34 2021	1627131454	1	14	15	14
Sat Jul 24 22:57:34 2021	1627131454	1	14	15	14
Sat Jul 24 22:57:35 2021	1627131455	1	14	15	14
Sat Jul 24 22:57:34 2021	1627131454	1	15	15	15
Sat Jul 24 22:57:35 2021	1627131455	1	14	15	14
Sat Jul 24 22:57:34 2021	1627131454	2	14	15	14
Sat Jul 24 22:57:34 2021	1627131454	1	14	15	14
Sat Jul 24 22:57:34 2021	1627131454	0	15	15	15
Sat Jul 24 22:57:34 2021	1627131454	1	14	15	14
Sat Jul 24 22:57:34 2021	1627131454	3	13	15	12
Sat Jul 24 22:57:34 2021	1627131454	1	14	15	14
Sat Jul 24 22:57:34 2021	1627131454	0	15	15	15
Sat Jul 24 22:57:35 2021	1627131455	1	14	15	14
Sat Jul 24 22:57:35 2021	1627131455	2	14	15	14
Sat Jul 24 22:57:34 2021	1627131454	1	15	15	15
Sat Jul 24 22:57:35 2021	1627131455	2	13	15	13
Sat Jul 24 22:57:34 2021	1627131454	1	15	15	15
Sat Jul 24 22:57:34 2021	1627131454	2	13	15	9
Sat Jul 24 22:57:34 2021	1627131454	1	14	15	14
Sat Jul 24 22:57:34 2021	1627131454	0	15	15	14
Sat Jul 24 22:57:34 2021	1627131454	2	13	16	13
Sat Jul 24 22:57:34 2021	1627131454	3	13	16	13
Sat Jul 24 22:57:35 2021	1627131455	1	14	16	14
Sat Jul 24 22:57:34 2021	1627131454	3	13	16	12
Sat Jul 24 22:57:34 2021	1627131454	2	14	16	14
Sat Jul 24 22:57:34 2021	1627131454	3	12	16	12
Sat Jul 24 22:57:34 2021	1627131454	3	13	16	13
Sat Jul 24 22:57:34 2021	1627131454	2	14	16	13
Sat Jul 24 22:57:34 2021	1627131454	2	14	16	14
Sat Jul 24 22:57:35 2021	1627131455	0	15	16	15
Sat Jul 24 22:57:34 2021	1627131454	4	12	16	10
Sat Jul 24 22:57:35 2021	1627131455	2	14	16	14
Sat Jul 24 22:57:34 2021	1627131454	2	14	16	14
Sat Jul 24 22:57:34 2021	1627131454	3	12	16	12
Sat Jul 24 22:57:34 2021	1627131454	2	13	16	13
Sat Jul 24 22:57:34 2021	1627131454	2	14	16	14
Sat Jul 24 22:57:34 2021	1627131454	1	15	16	15
Sat Jul 24 22:57:34 2021	1627131454	3	12	16	12
Sat Jul 24 22:57:34 2021	1627131454	1	15	16	15
Sat Jul 24 22:57:34 2021	1627131454	4	11	16	11
Sat Jul 24 22:57:34 2021	1627131454	1	15	16	15
Sat Jul 24 22:57:35 2021	1627131455	8	8	16	8
Sat Jul 24 22:57:35 2021	1627131455	1	15	16	14
Sat Jul 24 22:57:34 2021	1627131454	2	14	16	11
Sat Jul 24 22:57:34 2021	1627131454	1	14	16	14
Sat Jul 24 22:57:34 2021	1627131454	1	15	16	14
Sat Jul 24 22:57:34 2021	1627131454	2	14	16	14
Sat Jul 24 22:57:34 2021	1627131454	1	15	16	14
Sat Jul 24 22:57:34 2021	1627131454	1	15	16	14
Sat Jul 24 22:57:35 2021	1627131455	4	12	16	11
Sat Jul 24 22:57:35 2021	1627131455	1	15	16	15
Sat Jul 24 22:57:35 2021	1627131455	2	14	16	14
Sat Jul 24 22:57:34 2021	1627131454	2	14	16	14
Sat Jul 24 22:57:35 2021	1627131455	7	9	16	8
Sat Jul 24 22:57:34 2021	1627131454	1	14	16	14
Sat Jul 24 22:57:34 2021	1627131454	2	14	16	11
Sat Jul 24 22:57:34 2021	1627131454	2	14	16	14
Sat Jul 24 22:57:34 2021	1627131454	2	14	16	14
Sat Jul 24 22:57:34 2021	1627131454	2	14	16	13
Sat Jul 24 22:57:34 2021	1627131454	1	14	16	14
Sat Jul 24 22:57:35 2021	1627131455	2	14	16	14
Sat Jul 24 22:57:35 2021	1627131455	1	15	16	15
Sat Jul 24 22:57:34 2021	1627131454	1	15	16	14
Sat Jul 24 22:57:34 2021	1627131454	2	14	16	14
Sat Jul 24 22:57:34 2021	1627131454	2	14	16	14
Sat Jul 24 22:57:34 2021	1627131454	1	15	16	15
Sat Jul 24 22:57:35 2021	1627131455	1	15	16	15
Sat Jul 24 22:57:34 2021	1627131454	1	15	16	15
Sat Jul 24 22:57:34 2021	1627131454	3	13	16	9
Sat Jul 24 22:57:35 2021	1627131455	1	15	16	15
Sat Jul 24 22:57:34 2021	1627131454	1	15	16	15
Sat Jul 24 22:57:34 2021	1627131454	3	13	16	13
Sat Jul 24 22:57:34 2021	1627131454	2	14	16	14
Sat Jul 24 22:57:34 2021	1627131454	4	12	16	12
Sat Jul 24 22:57:34 2021	1627131454	3	13	16	13
Sat Jul 24 22:57:34 2021	1627131454	2	14	16	14
Sat Jul 24 22:57:34 2021	1627131454	2	14	16	14
Sat Jul 24 22:57:34 2021	1627131454	1	15	16	14
Sat Jul 24 22:57:34 2021	1627131454	3	13	16	9
Sat Jul 24 22:57:34 2021	1627131454	1	15	16	15
Sat Jul 24 22:57:35 2021	1627131455	1	14	16	14
Sat Jul 24 22:57:34 2021	1627131454	2	14	16	14
Sat Jul 24 22:57:34 2021	1627131454	2	14	16	14
Sat Jul 24 22:57:34 2021	1627131454	1	15	16	15
Sat Jul 24 22:57:35 2021	1627131455	2	14	16	14
Sat Jul 24 22:57:35 2021	1627131455	2	14	16	14
Sat Jul 24 22:57:35 2021	1627131455	2	14	16	13
Sat Jul 24 22:57:34 2021	1627131454	2	14	16	14
Sat Jul 24 22:57:35 2021	1627131455	3	12	16	12
Sat Jul 24 22:57:35 2021	1627131455	7	8	16	8
Sat Jul 24 22:57:34 2021	1627131454	6	10	16	7
Sat Jul 24 22:57:34 2021	1627131454	3	13	16	13
Sat Jul 24 22:57:34 2021	1627131454	3	13	16	13
Sat Jul 24 22:57:35 2021	1627131455	1	15	16	15
Sat Jul 24 22:57:34 2021	1627131454	1	15	16	15
Sat Jul 24 22:57:34 2021	1627131454	2	14	16	14
Sat Jul 24 22:57:34 2021	1627131454	2	14	16	11
Sat Jul 24 22:57:35 2021	1627131455	3	13	16	13
Sat Jul 24 22:57:34 2021	1627131454	1	15	16	14
Sat Jul 24 22:57:34 2021	1627131454	1	15	16	15
Sat Jul 24 22:57:34 2021	1627131454	4	12	16	11
Sat Jul 24 22:57:34 2021	1627131454	2	14	16	9
Sat Jul 24 22:57:35 2021	1627131455	0	16	16	15
Sat Jul 24 22:57:34 2021	1627131454	1	15	16	15
Sat Jul 24 22:57:34 2021	1627131454	3	13	16	13
Sat Jul 24 22:57:34 2021	1627131454	1	15	16	15
Sat Jul 24 22:57:35 2021	1627131455	8	8	16	8
Sat Jul 24 22:57:34 2021	1627131454	3	13	16	13
Sat Jul 24 22:57:35 2021	1627131455	8	8	16	8
Sat Jul 24 22:57:34 2021	1627131454	1	15	16	15
Sat Jul 24 22:57:35 2021	1627131455	1	15	16	15
Sat Jul 24 22:57:34 2021	1627131454	2	14	16	14
Sat Jul 24 22:57:35 2021	1627131455	7	9	16	9
Sat Jul 24 22:57:35 2021	1627131455	1	15	16	15
Sat Jul 24 22:57:34 2021	1627131454	4	12	16	12
Sat Jul 24 22:57:34 2021	1627131454	1	15	16	15
Sat Jul 24 22:57:35 2021	1627131455	2	14	16	14
Sat Jul 24 22:57:35 2021	1627131455	7	9	16	9
Sat Jul 24 22:57:34 2021	1627131454	3	13	16	13
Sat Jul 24 22:57:34 2021	1627131454	2	14	16	9
Sat Jul 24 22:57:35 2021	1627131455	1	15	16	15
